# , Name, Requirement Type, Event/Use-Case, Short Description, Customer Satisfaction, Customer Dissatisfaction, Priority, CommitHistory, Datum, Author, Person Responsible
1 , Registration , Functional and Data Requirement,#1 Registration ,Der Besucher muss die Möglichkeit haben sich auf der Website zu registrieren. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%231_registration.md, 04.06.2017, Matthias Hertel, Matthias Hertel
2 , Login , Functiona and Data Requirement,#2 Login ,Der Besucher muss die Moeglichkeit haben sich auf der Website einzuloggen. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%232_login.md, 04.06.2017, Matthias Hertel, Matthias Hertel
3 , PasswordReset , Functiona and Data Requirement,#3 Passwort-Resset ,Der Besucher muss die Moeglichkeit haben sein Passwort zu reseten. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%233_passwordReset.md, 04.06.2017, Matthias Hertel, Matthias Hertel
4 , UserProfil , Functional and Data Requirement,#4 User-Profil ,Der Besucher muss die Moeglichkeit haben sein Profil zu bearbeiten. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%234_userProfil.md, 04.06.2017, Matthias Hertel, Matthias Hertel
5 , UserProfil orderHistory , Functiona and Data Requirement,#5 Order-History ,Der Besucher muss die Moeglichkeit haben sein Bestellungen einzusehen. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%235_userProfil_orderHistory.md, 04.06.2017, Matthias Hertel, Matthias Hertel
12 , Produkt , Functional and Data Requirement,- ,Definition der Datenstruktur der verkaufbaren Produkte. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%2312_Produkt.md, 04.06.2017, Matthias Hertel, Matthias Hertel
13 , Produktaktionen , Functional and Data Requirement,#13 Produktaktionen ,Der User muss folgende Produktaktionen ausführen können. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%2313_Produktaktionen.md, 04.06.2017, Matthias Hertel, Matthias Hertel
14 , Productmanagement , Functional and Data Requirement,#14 Neue Produkte einpflegen ,Der administrative User muss neue Produkte in das System einpflegen können. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%2314_Productmanagement.md, 04.06.2017, Matthias Hertel, Matthias Hertel
15 , Accountmanagement , Functional and Data Requirement,#15 administratives Accountmanagement ,Der administrative User muss die Accounts managen können. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%2315_Accountmanagement.md, 04.06.2017, Matthias Hertel, Matthias Hertel
16 , Ordermanagement , Functional and Data Requirement,#16 administratives Ordermanagement ,Der administrative User muss die Bestellungen managen können. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%2316_Ordermanagement.md, 04.06.2017, Matthias Hertel, Matthias Hertel
21 , EinfacheSuche , Functional and Data Requirement,#21 Produktsuche ,Der User muss die Produkte suchen können. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%2321_einfacheSuche.md, 04.06.2017, Matthias Hertel, Matthias Hertel
22 , VolltextSuche , Functional and Data Requirement,#21 Produktsuche ,Die Software sollte eine Volltextsuche implementiert haben. , , , ,https://github.com/MatthiasHertel/productstore/commits/master/requirements/functional/%2322_VolltextSuche.md, 04.06.2017, Matthias Hertel, Matthias Hertel
